Thread ID,Solution
0,1375
0,260768
0,1407
0,260736
0,1436
0,260707
0,1468
0,260675
0,1678
0,260465
0,1679
0,260464
1,18304
1,243839
0,1863
0,260280
0,1920
0,260223
0,1922
0,260221
0,1923
0,260220
0,1924
0,260219
0,1928
0,260215
0,1936
0,260207
0,1968
0,260175
0,1984
0,260159
0,1985
0,260158
2,59008
2,203135
0,2750
0,259393
0,2751
0,259392
0,3000
0,259143
2,63043
2,199100
0,3968
0,258175
2,63104
2,199039
0,4000
0,258143
2,63615
2,198528
0,5471
0,256672
0,5503
0,256640
0,5959
0,256184
1,29791
1,232352
0,6080
0,256063
1,29823
0,6081
0,256062
1,232320
1,30528
1,231615
1,30529
1,231614
3,116096
3,146047
2,67456
2,194687
1,34688
1,227455
0,10112
0,252031
0,13903
0,248240
0,14208
0,247935
3,127071
3,135072
0,14975
0,247168
3,127103
3,135040
3,128071
3,134072
3,128320
3,133823
3,128321
3,133822
N = 3, M = 6
Found 94 solutions in 0.000685 seconds
Total count: 8877
