Thread ID,Solution
0,1367
0,64168
0,1375
0,64160
0,1392
0,64143
0,1393
0,64142
0,1574
0,63961
0,1575
0,63960
0,1582
0,63953
0,1583
0,63952
0,1606
0,63929
0,1607
0,63928
0,1614
0,63921
0,1615
0,63920
3,25184
3,40351
1,5463
1,60072
1,5471
1,60064
1,5488
1,60047
1,5489
1,60046
0,1815
0,63720
0,1823
0,63712
0,1872
0,63663
0,1873
0,63662
1,5911
1,59624
1,5919
1,59616
1,5968
1,59567
1,5969
1,59566
3,25696
3,39839
0,2734
0,62801
0,2735
0,62800
0,2784
0,62751
1,7071
1,58464
0,2792
0,62743
0,2975
0,62560
0,3487
0,62048
1,7583
1,57952
0,3726
0,61809
0,3727
0,61808
3,29015
3,36520
3,29023
3,36512
0,3744
0,61791
3,29040
3,36495
3,29041
3,36494
0,3752
0,61783
3,29280
3,36255
3,29792
3,35743
3,29975
3,35560
3,29983
3,35552
3,30032
3,35503
3,30033
3,35502
N = 4, M = 4
Found 96 solutions in 0.002403 seconds
Total count: 6470
