Thread ID,Solution
0,10574
0,1038001
0,10575
0,1038000
0,10590
0,1037985
0,10591
0,1037984
0,10688
0,1037887
0,10690
0,1037885
0,10691
0,1037884
0,10692
0,1037883
0,10696
0,1037879
0,10712
0,1037863
0,10720
0,1037855
0,10721
0,1037854
0,11200
0,1037375
0,11216
0,1037359
0,11567
0,1037008
0,11583
0,1036992
0,11712
0,1036863
0,13487
0,1035088
0,13503
0,1035072
1,76224
1,972351
0,13615
0,1034960
0,13631
0,1034944
0,14414
0,1034161
0,14415
0,1034160
0,14430
0,1034145
0,14431
0,1034144
0,14478
0,1034097
0,14479
0,1034096
0,14494
0,1034081
0,14495
0,1034080
0,14606
0,1033969
0,14607
0,1033968
0,14622
0,1033953
0,14623
0,1033952
0,14656
0,1033919
0,14658
0,1033917
0,14659
0,1033916
0,14664
0,1033911
0,14680
0,1033895
0,14688
0,1033887
0,14689
0,1033886
1,80192
1,968383
0,15168
0,1033407
0,15184
0,1033391
0,15407
0,1033168
0,15423
0,1033152
0,15651
0,1032924
0,15680
0,1032895
0,22207
0,1026368
0,23134
0,1025441
0,23135
0,1025440
0,23198
0,1025377
0,23199
0,1025376
0,24127
0,1024448
0,27072
0,1021503
2,242735
2,805840
2,242751
2,805824
0,27230
0,1021345
0,27231
0,1021344
2,242979
2,805596
0,28223
0,1020352
0,30271
0,1018304
2,247487
2,801088
0,31040
0,1017535
0,31262
0,1017313
0,31263
0,1017312
0,31320
0,1017255
3,461248
3,587327
2,251455
2,797120
1,107943
1,940632
0,44335
0,1004240
1,108000
1,940575
0,44351
0,1004224
1,108001
1,940574
0,44480
0,1004095
3,463296
3,585279
1,108992
1,939583
0,46255
0,1002320
0,46271
0,1002304
0,46383
0,1002192
0,46399
0,1002176
3,467392
3,581183
1,112960
1,935615
0,48175
0,1000400
0,48191
0,1000384
0,48419
0,1000156
0,48448
0,1000127
3,469312
3,579263
0,54975
0,993600
2,272832
2,775743
0,56895
0,991680
0,60991
0,987584
2,276800
2,771775
1,145728
1,902847
0,63039
0,985536
3,492967
3,555608
3,493024
3,555551
3,493025
3,555550
3,493247
3,555328
3,494016
3,554559
3,496064
3,552511
3,497056
3,551519
3,497057
3,551518
3,497215
3,551360
3,500160
3,548415
3,501088
3,547487
3,501089
3,547486
3,501152
3,547423
3,501153
3,547422
3,502080
3,546495
N = 4, M = 5
Found 220 solutions in 0.002374 seconds
Total count: 38651
