Thread ID,Solution
0,5438
0,2091713
0,5439
0,2091712
0,5502
0,2091649
0,5503
0,2091648
2,270080
2,1827071
0,5944
0,2091207
0,6008
0,2091143
0,6815
0,2090336
0,6940
0,2090211
0,7438
0,2089713
0,7439
0,2089712
0,7815
0,2089336
0,7936
0,2089215
0,7938
0,2089213
0,7939
0,2089212
0,7940
0,2089211
0,7944
0,2089207
0,7952
0,2089199
0,7968
0,2089183
0,8032
0,2089119
0,8064
0,2089087
0,8065
0,2089086
0,11007
0,2086144
0,11132
0,2086019
1,120991
1,1976160
0,12144
0,2085007
1,122496
1,1974655
1,122497
1,1974654
1,125183
1,1971968
0,16128
0,2081023
3,532224
3,1564927
0,16192
0,2080959
2,465664
2,1631487
0,23199
0,2073952
0,24199
0,2072952
0,24448
0,2072703
0,24449
0,2072702
0,27391
0,2069760
1,139008
1,1958143
0,40704
0,2056447
2,514183
2,1582968
2,514688
2,1582463
2,514689
2,1582462
2,516351
2,1580800
3,923392
3,1173759
1,236800
1,1860351
1,250047
1,1847104
1,250111
1,1847040
1,253059
1,1844092
1,253184
1,1843967
3,1021184
3,1075967
3,1032383
3,1064768
3,1032447
3,1064704
3,1036431
3,1060720
3,1037443
3,1059708
3,1037568
3,1059583
0,54463
0,2042688
0,54527
0,2042624
0,56463
0,2040688
0,57088
0,2040063
0,73472
0,2023679
N = 3, M = 7
Found 122 solutions in 0.002207 seconds
Total count: 25893
