Thread ID,Solution
0,5592415
0,1068149408
0,5592447
0,1068149376
0,5592903
0,1068148920
0,5593024
0,1068148799
0,5593025
0,1068148798
0,5600351
0,1068141472
0,5600383
0,1068141440
0,5601088
0,1068140735
0,5601089
0,1068140734
0,5624159
0,1068117664
0,5624191
0,1068117632
0,5624415
0,1068117408
0,5624447
0,1068117376
0,5624927
0,1068116896
0,5624959
0,1068116864
0,5625159
0,1068116664
0,5625280
0,1068116543
0,5625281
0,1068116542
0,5632095
0,1068109728
0,5632127
0,1068109696
0,5633095
0,1068108728
0,5633344
0,1068108479
0,5633345
0,1068108478
0,5724543
0,1068017280
0,5732479
0,1068009344
0,5757055
0,1067984768
0,5842332
0,1067899491
0,5842364
0,1067899459
0,5842574
0,1067899249
0,5842575
0,1067899248
0,5842816
0,1067899007
0,5842818
0,1067899005
0,5842819
0,1067899004
0,5842820
0,1067899003
0,5842824
0,1067898999
0,5842832
0,1067898991
0,5842864
0,1067898959
0,5842880
0,1067898943
0,5842881
0,1067898942
0,5844864
0,1067896959
0,5844896
0,1067896927
0,5846607
0,1067895216
0,5846912
0,1067894911
0,5850463
0,1067891360
0,5850495
0,1067891328
0,5850524
0,1067891299
0,5850556
0,1067891267
0,5850951
0,1067890872
0,5851008
0,1067890815
0,5851010
0,1067890813
0,5851011
0,1067890812
0,5851012
0,1067890811
0,5851016
0,1067890807
0,5851024
0,1067890799
0,5851056
0,1067890767
0,5851072
0,1067890751
0,5851073
0,1067890750
0,5853056
0,1067888767
0,5853088
0,1067888735
0,5882207
0,1067859616
0,5882239
0,1067859584
0,5882268
0,1067859555
0,5882300
0,1067859523
0,5882463
0,1067859360
0,5882495
0,1067859328
0,5882975
0,1067858848
0,5883007
0,1067858816
0,5883207
0,1067858616
0,5883264
0,1067858559
0,5883266
0,1067858557
0,5883267
0,1067858556
0,5883268
0,1067858555
0,5883280
0,1067858543
0,5883312
0,1067858511
0,5883328
0,1067858495
0,5883329
0,1067858494
0,5885312
0,1067856511
0,5885344
0,1067856479
0,5973888
0,1067767935
0,5974460
0,1067767363
0,5982080
0,1067759743
0,5982591
0,1067759232
0,5982652
0,1067759171
0,6014336
0,1067727487
0,6015103
0,1067726720
0,6015408
0,1067726415
1,72951680
1,1000790143
1,72959872
1,1000781951
1,72992128
1,1000749695
0,6100319
0,1067641504
0,6100351
0,1067641472
0,6100807
0,1067641016
0,6100928
0,1067640895
0,6100929
0,1067640894
0,6104960
0,1067636863
0,6113152
0,1067628671
0,6116447
0,1067625376
0,6116479
0,1067625344
0,6117184
0,1067624639
0,6117185
0,1067624638
0,6145408
0,1067596415
0,6148191
0,1067593632
0,6148223
0,1067593600
0,6149191
0,1067592632
0,6149440
0,1067592383
0,6149441
0,1067592382
1,74983296
1,998758527
0,6232447
0,1067509376
1,74991488
1,998750335
1,75007872
1,998733951
0,6248575
0,1067493248
1,75015808
1,998726015
1,75040640
1,998701183
1,75048320
1,998693503
1,75048576
1,998693247
1,75056512
1,998685311
0,6858382
0,1066883441
0,6858383
0,1066883440
0,6858624
0,1066883199
0,6858626
0,1066883197
0,6858627
0,1066883196
0,6858628
0,1066883195
0,6858632
0,1066883191
0,6858640
0,1066883183
0,6858672
0,1066883151
0,6858688
0,1066883135
0,6858689
0,1066883134
0,6859454
0,1066882369
0,6859455
0,1066882368
0,6859704
0,1066882119
0,6860672
0,1066881151
0,6860704
0,1066881119
0,6862415
0,1066879408
0,6862720
0,1066879103
0,6863487
0,1066878336
0,6874638
0,1066867185
0,6874639
0,1066867184
0,6874752
0,1066867071
0,6874754
0,1066867069
0,6874755
0,1066867068
0,6874760
0,1066867063
0,6874768
0,1066867055
0,6874800
0,1066867023
0,6874816
0,1066867007
0,6874817
0,1066867006
0,6875326
0,1066866497
0,6875327
0,1066866496
0,6875454
0,1066866369
0,6875455
0,1066866368
0,6875710
0,1066866113
0,6875711
0,1066866112
0,6875832
0,1066865991
0,6876800
0,1066865023
0,6876832
0,1066864991
0,6878787
0,1066863036
0,6878848
0,1066862975
0,6879359
0,1066862464
0,6890908
0,1066850915
0,6890940
0,1066850883
0,6891150
0,1066850673
0,6891151
0,1066850672
0,6891392
0,1066850431
0,6891394
0,1066850429
0,6891395
0,1066850428
0,6891396
0,1066850427
0,6891400
0,1066850423
0,6891408
0,1066850415
0,6891440
0,1066850383
0,6891456
0,1066850367
0,6891457
0,1066850366
0,6893440
0,1066848383
