Thread ID,Solution
0,334
0,32433
0,335
0,32432
0,350
0,32417
0,351
0,32416
0,423
0,32344
1,2496
1,30271
0,448
0,32319
0,450
0,32317
0,451
0,32316
0,452
0,32315
0,456
0,32311
0,472
0,32295
0,480
0,32287
0,481
0,32286
0,703
0,32064
0,732
0,32035
1,3375
1,29392
1,3391
1,29376
1,3520
1,29247
1,4544
1,28223
3,14656
3,18111
3,15407
3,17360
3,15423
3,17344
3,15651
3,17116
3,15680
3,17087
0,960
0,31807
0,976
0,31791
0,1447
0,31320
0,1504
0,31263
0,1505
0,31262
0,1727
0,31040
2,7584
2,25183
2,7585
2,25182
2,7743
2,25024
2,8640
2,24127
N = 3, M = 5
Found 70 solutions in 0.001393 seconds
Total count: 2750
