Thread ID,Solution
3,4153615
3,12623600
0,21887
0,16755328
0,22015
0,16755200
0,22140
0,16755075
0,22268
0,16754947
3,4155651
3,12621564
3,4155904
3,12621311
3,4162047
3,12615168
0,24176
0,16753039
0,24304
0,16752911
0,27198
0,16750017
0,27199
0,16750016
0,28216
0,16748999
0,29983
0,16747232
0,30236
0,16746979
0,31246
0,16745969
0,31247
0,16745968
1,556544
1,16220671
0,32007
0,16745208
0,32256
0,16744959
0,32258
0,16744957
0,32259
0,16744956
0,32260
0,16744955
0,32264
0,16744951
0,32272
0,16744943
0,32288
0,16744927
0,32320
0,16744895
0,32448
0,16744767
0,32512
0,16744703
0,32513
0,16744702
0,43774
0,16733441
0,43775
0,16733440
0,44792
0,16732423
0,48864
0,16728351
2,2048383
2,14728832
2,2048511
2,14728704
2,2060551
2,14716664
2,2061568
2,14715647
2,2061569
2,14715646
0,65024
0,16712191
0,65152
0,16712063
0,87423
0,16689792
0,87551
0,16689664
3,4226560
3,12550655
0,95519
0,16681696
0,97543
0,16679672
0,98048
0,16679167
0,98049
0,16679166
2,2129408
2,14647807
1,948736
1,15828479
0,163328
0,16613887
1,1007935
1,15769280
1,1014019
1,15763196
1,1014272
1,15762943
1,1024511
1,15752704
2,3698176
2,13079039
3,7364096
3,9413119
0,223551
0,16553664
0,227599
0,16549616
0,228864
0,16548351
0,240127
0,16537088
1,1080832
1,15696383
2,4090368
2,12686847
0,294400
0,16482815
3,8148480
3,8628735
1,1865216
1,14911999
0,479615
0,16297600
0,479743
0,16297472
3,8323455
3,8453760
3,8323583
3,8453632
0,487711
0,16289504
0,490752
0,16286463
0,490753
0,16286462
3,8339743
3,8437472
3,8343815
3,8433400
3,8344832
3,8432383
3,8344833
3,8432382
N = 3, M = 8
Found 154 solutions in 0.005110 seconds
Total count: 70057
